2025-09-01 16:45:31 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:31 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:31 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:31 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:31 | INFO     | govnomet.game   | ✅ Бросок обработан: combo -> 1 целей
2025-09-01 16:45:31 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (combo) в чате -1002387143721
2025-09-01 16:45:31 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> combo -> 1 целей
2025-09-01 16:45:32 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:32 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:32 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:32 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:32 | INFO     | govnomet.game   | ✅ Бросок обработан: special -> 1 целей
2025-09-01 16:45:32 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (special) в чате -1002387143721
2025-09-01 16:45:32 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> special -> 1 целей
2025-09-01 16:45:32 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:32 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:32 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:32 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:32 | WARNING  | govnomet.game   | ⚠️ Инициатор 392905464 не найден в списке участников
2025-09-01 16:45:32 | INFO     | govnomet.game   | ✅ Бросок обработан: miss -> 1 целей
2025-09-01 16:45:32 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (miss) в чате -1002387143721
2025-09-01 16:45:33 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> miss -> 1 целей
2025-09-01 16:45:33 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:33 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:33 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:33 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:33 | INFO     | govnomet.game   | ✅ Бросок обработан: splash -> 1 целей
2025-09-01 16:45:33 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (splash) в чате -1002387143721
2025-09-01 16:45:34 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> splash -> 1 целей
2025-09-01 16:45:34 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:34 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:34 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:34 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:34 | INFO     | govnomet.game   | ✅ Бросок обработан: special -> 1 целей
2025-09-01 16:45:34 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (special) в чате -1002387143721
2025-09-01 16:45:35 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> special -> 1 целей
2025-09-01 16:45:38 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:38 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:38 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:38 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:38 | WARNING  | govnomet.game   | ⚠️ Инициатор 392905464 не найден в списке участников
2025-09-01 16:45:38 | INFO     | govnomet.game   | ✅ Бросок обработан: miss -> 1 целей
2025-09-01 16:45:38 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (miss) в чате -1002387143721
2025-09-01 16:45:39 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> miss -> 1 целей
2025-09-01 16:45:48 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:48 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:48 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:48 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:48 | INFO     | govnomet.game   | ✅ Бросок обработан: splash -> 1 целей
2025-09-01 16:45:48 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (splash) в чате -1002387143721
2025-09-01 16:45:48 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> splash -> 1 целей
2025-09-01 16:45:49 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:49 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:49 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:49 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:49 | INFO     | govnomet.game   | ✅ Бросок обработан: splash -> 1 целей
2025-09-01 16:45:49 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (splash) в чате -1002387143721
2025-09-01 16:45:49 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> splash -> 1 целей
2025-09-01 16:45:50 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:50 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:50 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
2025-09-01 16:45:50 | INFO     | govnomet.game   | 💩 Обработка броска: reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:50 | INFO     | govnomet.game   | ✅ Бросок обработан: splash -> 1 целей
2025-09-01 16:45:50 | INFO     | govnomet.database | 💩 Событие добавлено: 392905464 -> 113296569 (splash) в чате -1002387143721
2025-09-01 16:45:50 | INFO     | govnomet        | ✅ Бросок завершен: reppo_s -> splash -> 1 целей
2025-09-01 16:45:51 | INFO     | govnomet        | 💩 Кнопка броска нажата пользователем reppo_s (ID: 392905464) в чате -1002387143721
2025-09-01 16:45:51 | INFO     | govnomet.database | 👤 Пользователь 392905464 (@reppo_s) добавлен/обновлен в БД
2025-09-01 16:45:51 | INFO     | govnomet        | 👥 Используем 1 участников чата -1002387143721
